Player Name,Team,Position,Pts,GS,A,CS,B,BPS,PPG,MP,Cost,TSB,GC,OG,PS,PM,Season
Salah,LIV,MID,156,14,8,7,21,469,7.8,1740,£13.1,26.8%,17,0,0,2,2023
Son,TOT,MID,136,12,5,6,18,442,6.8,1690,£9.7,20.0%,27,1,0,0,2023
Watkins,AVL,FWD,121,9,11,5,14,404,5.8,1849,£8.9,55.8%,27,0,0,0,2023
Bowen,WHU,MID,113,11,2,5,8,314,5.7,1797,£8.1,26.8%,31,0,0,0,2023
Haaland,MCI,FWD,112,14,5,4,15,417,7.5,1294,£13.9,51.5%,16,0,0,1,2023
Saka,ARS,MID,110,6,8,7,11,405,5.5,1753,£9.1,62.3%,20,0,0,0,2023
Gordon,NEW,MID,104,7,7,8,8,332,5.2,1661,£6.1,19.7%,26,0,0,0,2023
Palmer,CHE,MID,102,9,5,3,14,351,5.7,1240,£5.8,36.9%,22,0,0,0,2023
Solanke,BOU,FWD,100,12,1,5,10,318,5.0,1777,£7.1,27.5%,36,0,0,0,2023
Hee Chan,WOL,MID,100,10,3,2,10,280,5.0,1446,£5.6,5.0%,23,0,0,0,2023
J.Alvarez,MCI,FWD,99,6,8,7,14,418,5.0,1679,£7,36.0%,18,0,0,0,2023
Foden,MCI,MID,98,5,6,6,12,389,4.9,1604,£8,28.8%,20,0,0,0,2023
Douglas Luiz,AVL,MID,97,6,3,5,18,418,4.8,1743,£5.6,10.1%,26,0,0,0,2023
Alexander-Arnold,LIV,DEF,97,2,4,7,18,439,5.4,1498,£8.5,20.4%,15,0,0,0,2023
Ward-Prowse,WHU,MID,91,4,6,5,12,431,4.5,1772,£6,8.6%,31,0,0,0,2023
Bernardo,MCI,MID,89,6,4,3,15,379,5.2,1426,£6.5,5.6%,20,0,0,0,2023
Darwin,LIV,FWD,88,7,8,6,8,267,4.4,1201,£7.4,14.9%,10,0,0,0,2023
Diaby,AVL,MID,88,4,7,5,5,259,4.2,1349,£6.6,9.2%,20,0,0,0,2023
Mbeumo,BRE,MID,87,7,4,3,9,250,5.8,1286,£6.8,6.6%,20,0,0,0,2023
Sterling,CHE,MID,87,5,7,4,6,238,4.6,1495,£7.1,8.2%,25,0,0,0,2023
Ødegaard,ARS,MID,86,4,4,7,12,325,4.8,1599,£8.5,17.3%,17,0,0,0,2023
Trippier,NEW,DEF,86,0,7,6,18,456,4.5,1662,£6.7,38.2%,28,0,0,0,2023
Cunha,WOL,FWD,86,6,5,5,9,320,4.1,1763,£5.8,6.9%,27,0,0,0,2023
Gross,BHA,MID,85,3,6,3,15,377,4.5,1641,£6.5,6.6%,23,0,0,0,2023
A.Becker,LIV,GKP,83,0,0,7,9,410,4.4,1710,£5.7,14.2%,15,0,0,0,2023
Pedro Porro,TOT,DEF,83,0,8,5,13,470,4.2,1797,£5.9,33.0%,29,0,0,0,2023
Saliba,ARS,DEF,81,1,1,8,6,403,3.9,1890,£5.6,37.4%,20,0,0,0,2023
McGinn,AVL,MID,81,5,2,5,8,306,3.9,1794,£5.6,1.8%,25,0,0,0,2023
Richarlison,TOT,MID,81,7,3,7,4,189,4.5,1001,£7,11.7%,10,0,0,0,2023
A.Doucoure,EVE,MID,79,6,2,6,7,255,4.4,1532,£5.5,0.7%,20,0,0,0,2023
Kulusevski,TOT,MID,79,5,2,6,9,274,4.2,1671,£7.1,3.9%,23,0,0,0,2023
Isak,NEW,FWD,78,10,0,3,9,299,4.9,1136,£7.6,15.6%,23,0,0,0,2023
Zinchenko,ARS,DEF,77,1,1,7,11,346,4.1,1292,£5.2,10.4%,11,0,0,0,2023
Bailey,AVL,MID,77,6,5,4,5,229,4.1,922,£5.7,3.9%,13,0,0,0,2023
Pickford,EVE,GKP,77,0,0,7,8,377,3.7,1890,£4.5,9.5%,28,1,0,0,2023
Virgil,LIV,DEF,77,1,2,7,8,390,4.1,1647,£6.3,15.0%,17,0,0,0,2023
Areola,WHU,GKP,77,0,0,4,8,356,4.3,1620,£4.2,36.6%,25,0,1,0,2023
Diogo J.,LIV,MID,76,7,5,4,5,230,5.1,754,£7.9,6.9%,6,0,0,0,2023
Elanga,NFO,MID,76,4,6,1,4,252,3.8,1358,£5.1,1.6%,26,0,0,0,2023
Kudus,WHU,MID,76,6,3,3,11,246,4.8,961,£6.8,3.3%,19,0,0,0,2023
Gabriel,ARS,DEF,75,2,1,6,6,339,3.9,1544,£5,18.3%,17,0,0,0,2023
White,ARS,DEF,75,1,2,7,7,369,3.8,1565,£5.6,11.0%,19,0,0,0,2023
Rice,ARS,MID,75,3,2,8,7,382,3.6,1815,£5.4,5.0%,19,0,0,0,2023
Wood,NFO,FWD,74,8,1,1,12,292,3.9,818,£4.9,1.8%,17,0,0,0,2023
Souček,WHU,MID,74,5,1,5,5,264,3.7,1615,£4.9,1.5%,26,0,0,0,2023
Onana,MUN,GKP,74,0,0,6,5,403,3.5,1890,£4.8,12.1%,29,0,0,0,2023
João Pedro,BHA,FWD,73,7,2,3,9,278,3.5,1228,£5.5,13.7%,20,0,0,0,2023
Leno,FUL,GKP,73,0,0,5,10,431,3.5,1890,£4.8,16.0%,36,1,0,0,2023
Szoboszlai,LIV,MID,73,2,4,7,6,329,3.6,1591,£7.1,4.5%,15,0,0,0,2023
Martinelli,ARS,MID,71,4,3,5,3,254,3.7,1306,£7.7,5.6%,17,0,0,0,2023
Mykolenko,EVE,DEF,71,2,1,6,7,290,4.4,1437,£4.6,5.7%,19,0,0,0,2023
Tarkowski,EVE,DEF,71,1,1,7,6,360,3.4,1890,£4.5,5.8%,28,0,0,0,2023
Vicario,TOT,GKP,71,0,0,5,7,415,3.4,1890,£5.3,9.0%,31,0,0,0,2023
Martinez,AVL,GKP,70,0,0,5,12,378,3.5,1800,£5.2,12.3%,26,1,0,0,2023
