Player Name,Team,Position,Pts,GS,A,CS,B,BPS,PPG,MP,Cost,TSB,GC,OG,PS,PM,Season
Sánchez,ARS,MID,264,24,11,13,32,834,6.9,3217,£11.7,29.7%,41,0,0,1,2016
Alli,TOT,MID,225,18,11,17,17,679,6.1,3036,£9.1,32.3%,22,0,0,0,2016
Hazard,CHE,MID,224,16,9,17,33,869,6.2,2985,£10.5,30.6%,29,0,0,1,2016
Kane,TOT,FWD,224,29,7,14,33,920,7.5,2523,£11.9,23.3%,19,0,0,1,2016
Lukaku,EVE,FWD,221,25,6,13,33,824,6,3266,£10.1,32.2%,42,0,0,0,2016
Eriksen,TOT,MID,218,8,20,16,30,798,6.1,3159,£8.9,17.9%,24,0,0,0,2016
De Bruyne,MCI,MID,199,6,21,11,33,825,5.5,2877,£10.5,10.4%,34,0,0,1,2016
Costa,CHE,FWD,196,20,11,14,25,657,5.6,3083,£10.4,32.2%,30,0,0,1,2016
Sigurdsson,SWA,MID,181,9,13,7,18,684,4.8,3327,£7.4,10.8%,70,0,0,0,2016
Firmino,LIV,MID,180,11,11,11,17,639,5.1,3062,£8.5,8.8%,39,0,0,0,2016
King,BOU,MID,178,16,3,9,17,553,4.9,2714,£6.2,19.3%,54,0,0,1,2016
Cahill,CHE,DEF,178,6,0,17,15,778,4.8,3296,£6.7,15.3%,29,1,0,0,2016
Alonso,CHE,DEF,177,6,5,15,11,675,5.7,2693,£6.9,16%,19,0,0,0,2016
Agüero,MCI,FWD,175,20,5,8,32,640,5.6,2404,£12.7,17.6%,30,0,0,1,2016
Son,TOT,MID,174,14,9,10,13,512,5.1,2063,£7.2,11%,18,0,0,0,2016
Coutinho,LIV,MID,171,13,8,8,21,631,5.5,2228,£8.7,26%,27,0,0,0,2016
Azpilicueta,CHE,DEF,170,1,5,16,22,872,4.5,3420,£6.4,18.1%,33,0,0,0,2016
Özil,ARS,MID,167,8,11,12,19,729,5.1,2841,£9.5,7.5%,30,0,0,0,2016
