Player Name,Team,Position,Pts,GS,A,CS,B,BPS,PPG,MP,Cost,TSB,GC,OG,PS,PM,Season
Haaland,MCI,FWD,272,36,9,13,40,1040,7.8,2767,£12.4,78.4%,26,0,0,0,2022
Kane,TOT,FWD,263,30,9,11,48,1008,6.9,3406,£11.5,32.7%,62,0,0,1,2022
Salah,LIV,MID,239,19,13,13,23,651,6.3,3290,£13.1,37.2%,45,0,0,2,2022
Ødegaard,ARS,MID,212,15,8,13,30,813,5.7,3132,£6.9,33.3%,38,0,0,0,2022
Rashford,MUN,MID,205,17,7,13,21,530,5.9,2880,£7.2,37.8%,39,0,0,0,2022
Saka,ARS,MID,202,14,12,12,19,678,5.3,3183,£8,25.6%,42,0,0,1,2022
Martinelli,ARS,MID,198,15,9,14,18,648,5.5,2789,£6.5,26.3%,33,0,0,0,2022
Trippier,NEW,DEF,198,1,9,16,39,941,5.2,3342,£6,62.4%,31,1,0,0,2022
De Bruyne,MCI,MID,183,7,18,10,26,742,5.7,2413,£12.1,25.5%,23,0,0,0,2022
Toney,BRE,FWD,182,20,4,10,35,607,5.5,2953,£7.1,18.2%,42,0,0,1,2022
B.Fernandes,MUN,MID,176,8,9,18,23,748,4.8,3317,£9.5,13.3%,39,0,0,0,2022
Watkins,AVL,FWD,175,15,8,13,25,550,4.7,3129,£7.3,12.8%,40,0,0,1,2022
Raya,BRE,GKP,166,0,0,12,20,822,4.4,3420,£4.8,14.4%,46,1,0,0,2022
Alexander-Arnold,LIV,DEF,156,2,11,10,21,824,4.2,2922,£7.8,30.7%,44,0,0,0,2022
Trossard,ARS,MID,154,8,13,8,8,494,4.3,2237,£6.6,7.2%,38,0,0,0,2022
Xhaka,ARS,MID,153,7,8,13,15,634,4.1,2992,£4.8,2.7%,35,0,0,0,2022
Son,TOT,MID,152,10,6,9,8,471,4.2,2886,£11.5,6.4%,55,0,0,0,2022
Mbeumo,BRE,FWD,150,9,9,10,19,556,3.9,2905,£5.7,4.0%,39,0,0,0,2022
Sá,WOL,GKP,148,0,0,11,18,683,4.1,3240,£5,5.1%,55,0,2,0,2022
March,BHA,MID,147,6,10,10,16,559,4.5,2719,£5.2,4.4%,40,0,0,0,2022
Gabriel,ARS,DEF,146,3,0,14,15,723,3.8,3409,£5.2,13.4%,43,0,0,0,2022
Bowen,WHU,MID,145,6,9,9,9,431,3.8,3232,£8,3.3%,50,0,0,1,2022
Gibbs-White,NFO,MID,145,5,12,8,11,479,3.9,3151,£5.5,1.3%,61,0,0,0,2022
Ramsdale,ARS,GKP,143,0,0,14,9,664,3.8,3420,£4.8,11.4%,43,0,0,0,2022
Mee,BRE,DEF,143,3,2,12,11,643,3.9,3269,£4.8,14.4%,40,0,0,0,2022
Leno,FUL,GKP,142,0,0,8,17,766,3.9,3240,£4.6,3.5%,51,0,1,0,2022
Douglas Luiz,AVL,MID,142,6,7,13,17,594,3.8,2922,£4.8,1.0%,35,0,0,0,2022
Foden,MCI,MID,142,11,7,5,15,517,4.4,1832,£8,9.7%,16,0,0,0,2022
Ward-Prowse,SOU,MID,142,9,4,4,18,747,3.7,3371,£6.1,4.9%,72,1,0,2,2022
Mac Allister,BHA,MID,140,10,2,10,18,567,4.0,2882,£5.6,14.7%,45,1,0,0,2022
Olise,CRY,MID,132,2,11,8,15,517,3.6,2743,£5.3,1.8%,38,0,0,0,2022
Gündogan,MCI,MID,132,8,6,10,9,518,4.3,2351,£7.4,7.7%,20,0,0,1,2022
Mings,AVL,DEF,130,1,3,12,17,617,3.7,3150,£4.7,12.5%,40,1,0,0,2022
Solanke,BOU,FWD,130,6,10,8,14,339,3.9,2865,£5.6,3.6%,52,0,0,0,2022
Burn,NEW,DEF,129,1,0,14,6,584,3.4,3109,£4.5,4.3%,30,0,0,0,2022
Botman,NEW,DEF,129,0,2,13,8,666,3.6,3127,£4.5,6.9%,30,0,0,0,2022
Estupiñán,BHA,DEF,128,1,7,10,15,593,3.7,2674,£5,20.5%,43,0,0,0,2022
Rodrigo,LEE,MID,127,13,2,5,6,368,4.1,1928,£6.3,4.1%,43,0,0,0,2022
Virgil,LIV,DEF,127,3,1,11,13,636,4.0,2835,£6.6,12.4%,36,0,0,0,2022
Fabianski,WHU,GKP,127,0,0,9,10,622,3.5,3111,£4.9,1.2%,48,0,1,0,2022
Billing,BOU,MID,126,7,2,9,14,475,3.5,2766,£5,0.9%,54,0,0,0,2022
Iwobi,EVE,MID,126,2,8,9,9,563,3.3,3379,£4.9,1.1%,56,0,0,0,2022
Mahrez,MCI,MID,126,5,12,6,11,470,4.2,1913,£7.5,8.9%,23,0,0,0,2022
McNeil,EVE,MID,126,7,5,5,14,505,3.5,2490,£5.2,2.0%,46,0,0,0,2022
G.Jesus,ARS,FWD,125,11,7,9,17,401,4.8,2064,£8.1,28.3%,23,0,0,0,2022
Pickford,EVE,GKP,124,0,1,8,10,666,3.4,3330,£4.4,6.2%,57,0,1,0,2022
Shaw,MUN,DEF,124,1,4,12,20,626,4.0,2552,£5.3,19.2%,35,0,0,0,2022
Neves,WOL,MID,118,6,2,10,16,558,3.4,3020,£5.2,1.5%,48,0,0,0,2022
Saliba,ARS,DEF,117,2,1,12,14,571,4.3,2415,£4.9,15.6%,25,1,0,0,2022
Buendía,AVL,MID,117,5,3,11,8,370,3.1,2404,£5.7,0.7%,34,0,0,0,2022
Rice,WHU,MID,116,4,3,9,12,622,3.1,3272,£4.7,3.2%,50,0,0,1,2022
Willian,FUL,MID,116,5,7,9,11,442,4.3,2127,£5.5,0.5%,22,0,0,0,2022
Joelinton,NEW,MID,115,6,5,11,10,458,3.6,2660,£6,2.0%,26,0,0,0,2022
Castagne,LEI,DEF,114,2,4,8,11,615,3.1,3255,£4.3,5.5%,63,0,0,0,2022
Henry,BRE,DEF,112,0,3,11,4,505,3.0,3240,£4.4,2.6%,46,0,0,0,2022
Pinnock,BRE,DEF,112,3,0,10,6,575,3.7,2700,£4.4,0.9%,34,1,0,0,2022
Dunk,BHA,DEF,112,1,1,12,7,648,3.1,3240,£4.8,8.2%,50,1,0,0,2022
Wissa,BRE,MID,111,7,4,7,6,292,2.9,1587,£5.3,0.3%,17,0,0,0,2022
Konsa,AVL,DEF,110,0,0,12,6,633,2.9,3322,£4.4,1.0%,45,0,0,0,2022
Kilman,WOL,DEF,109,0,1,11,12,622,2.9,3307,£4.3,3.1%,56,0,0,0,2022
Rodri,MCI,MID,108,2,6,11,7,606,3.0,2911,£5.6,1.9%,26,0,0,0,2022
Mitrović,FUL,FWD,107,14,2,7,14,324,4.5,2010,£6.6,12.5%,30,0,0,4,2022
Reed,FUL,MID,107,3,4,9,9,409,2.9,2868,£4.3,1.0%,44,1,0,0,2022
Bruno Guimarães,NEW,MID,107,4,5,12,5,438,3.3,2727,£5.5,2.9%,25,0,0,0,2022
Havertz,CHE,FWD,102,7,1,9,13,301,2.9,2565,£7.4,3.2%,31,0,0,0,2022
Dalot,MUN,DEF,102,1,2,10,19,502,3.9,2152,£4.8,6.3%,34,0,0,0,2022
Lerma,BOU,MID,101,5,0,7,5,500,2.7,3252,£4.7,0.5%,67,1,0,0,2022
Sterling,CHE,MID,101,6,4,5,9,274,3.6,1886,£9.7,3.4%,27,0,0,0,2022
Bailey,AVL,MID,100,4,5,8,6,242,3.0,1964,£4.3,2.7%,32,0,0,0,2022
Darwin,LIV,FWD,100,9,5,7,8,310,3.4,1684,£8.6,6.4%,22,0,0,0,2022
Awoniyi,NFO,FWD,100,10,1,5,16,320,3.7,1395,£5.6,1.2%,29,0,0,0,2022
Soucek,WHU,MID,100,2,4,8,6,364,2.8,2811,£5,0.6%,42,0,0,0,2022
Isak,NEW,FWD,100,10,2,4,18,353,4.5,1520,£7,12.7%,20,0,0,0,2022
Guaita,CRY,GKP,99,0,0,6,10,484,3.7,2430,£4.4,1.4%,34,0,0,0,2022
Zinchenko,ARS,DEF,99,1,2,10,8,500,3.7,2122,£5,9.0%,28,0,0,0,2022
Davies,TOT,DEF,99,2,3,9,3,470,3.2,2284,£4.7,1.0%,33,0,0,0,2022
Ream,FUL,DEF,98,1,0,8,12,560,3.0,2898,£4.5,1.2%,44,0,0,0,2022
Paquetá,WHU,MID,98,4,5,6,8,395,3.5,2154,£5.9,0.9%,39,0,0,0,2022
