Player Name,Team,Position,Pts,GS,A,CS,B,BPS,PPG,MP,Cost,TSB,GC,OG,PS,PM,Season
Salah,LIV,MID,265,23,14,17,29,756,7.6,2758,£13.1,41.0%,22,0,0,1,2021
Son,TOT,MID,258,23,10,18,27,819,7.4,3009,£11.2,35.6%,30,0,0,0,2021
Alexander-Arnold,LIV,DEF,208,2,12,18,32,864,6.5,2853,£8.4,37.9%,22,0,0,0,2021
Bowen,WHU,MID,206,12,17,8,24,586,5.7,2987,£6.9,15.0%,46,0,0,0,2021
Cancelo,MCI,DEF,201,1,11,19,27,829,5.6,3227,£7.2,41.4%,25,0,0,0,2021
De Bruyne,MCI,MID,196,15,8,13,33,732,6.5,2196,£12.1,18.6%,22,0,0,0,2021
Kane,TOT,FWD,192,17,11,14,23,684,5.2,3231,£12.5,23.4%,40,0,0,0,2021
Robertson,LIV,DEF,186,3,11,17,23,770,6.4,2537,£7.3,11.6%,20,0,0,0,2021
Virgil,LIV,DEF,183,3,3,21,13,803,5.4,3060,£6.8,17.8%,21,0,0,0,2021
Mané,LIV,MID,183,16,5,17,10,526,5.4,2818,£11.8,4.8%,24,0,0,0,2021
Maddison,LEI,MID,181,12,11,5,24,637,5.2,2454,£6.9,16.3%,41,0,0,0,2021
Saka,ARS,MID,179,11,9,13,18,566,4.7,2978,£6.7,28.8%,39,0,0,0,2021
Alisson,LIV,GKP,176,0,1,20,15,782,4.9,3240,£6.1,9.4%,24,1,0,0,2021
Ederson,MCI,GKP,155,0,0,20,4,701,4.2,3330,£6.2,12.1%,26,0,0,0,2021
Bernardo,MCI,MID,155,8,8,16,15,663,4.4,2856,£7,14.0%,23,0,0,0,2021
B.Fernandes,MUN,MID,151,10,7,8,15,626,4.2,3110,£11.6,13.5%,54,0,0,2,2021
Rüdiger,CHE,DEF,150,3,3,15,10,661,4.4,3035,£6.1,18.8%,27,0,0,0,2021
Zaha,CRY,MID,150,14,2,11,11,422,4.5,2759,£6.9,8.5%,34,0,0,2,2021
Cash,AVL,DEF,147,4,3,13,11,623,3.9,3377,£5.3,11.5%,50,0,0,0,2021
Gabriel,ARS,DEF,146,5,0,13,16,682,4.2,3063,£5.3,7.4%,38,0,0,0,2021
Sá,WOL,GKP,146,0,1,11,11,722,3.9,3285,£5.2,8.3%,40,1,0,0,2021
Raphinha,LEE,MID,145,11,4,5,14,457,4.1,2916,£6.3,11.6%,68,0,0,0,2021
Pukki,NOR,FWD,142,11,3,6,19,441,3.8,3253,£6.1,9.6%,79,0,0,0,2021
Trossard,BHA,MID,141,8,4,11,16,465,4.1,2803,£5.9,2.8%,33,0,0,0,2021
James,CHE,DEF,141,5,9,7,26,573,5.4,1863,£6.5,19.1%,22,1,0,0,2021
